ROW_NAMES	SARS.CoV2_E	SARS.CoV2_M	SARS.CoV2_N	SARS.CoV2_nsp1	SARS.CoV2_nsp2	SARS.CoV2_nsp4	SARS.CoV2_nsp5	SARS.CoV2_nsp5_C145A	SARS.CoV2_nsp6	SARS.CoV2_nsp7	SARS.CoV2_nsp8	SARS.CoV2_nsp9	SARS.CoV2_nsp10	SARS.CoV2_nsp11	SARS.CoV2_nsp12	SARS.CoV2_nsp13	SARS.CoV2_nsp14	SARS.CoV2_nsp15	SARS.CoV2_orf3a	SARS.CoV2_orf3b	SARS.CoV2_orf6	SARS.CoV2_orf7a	SARS.CoV2_orf8	SARS.CoV2_orf9b	SARS.CoV2_orf9c	SARS.CoV2_orf10	SARS.CoV2_Spike	
NDUFA4	0.8606434	0.06465946	0	0	0	-0.008451406	0	0	0.1459424	0.4148148	0.4176769	0	1.258301	1.434595	0.3238905	0	0	0	0.3509829	0	0	0.03578116	1.909439	2.924498	-0.9552462	1.822825	0	
PSMD14	0	0.05220266	0	0	0	1.216576	0	0	0.3103992	0	0	0	0	0	0	0	0	0	0.3612739	0	0	0.2830659	0.1109271	0	0.3808221	0	0	
ZNF593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.791518	0	5.629978	0	0	0	0	0	3.758451	
STK25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.49861	0	0	0	
PES1	0	0	0	0	0	0	0	0	0	0	13.50571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MPHOSPH10	0	0	0.2585457	0	0	0	0	0	0	0	5.385578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
NOP56	0.9729094	0	16.37735	0	0	0	0	0	-0.5463743	0	31.78205	1.160008	0	0	0	0	0	0	7.936191	3.878574	0	0	-1.755296	0	-2.739802	1.093251	0	
DDX3X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.546	0	0	0	0	0	0	0	0	0	0	
PPP6C	0.2771358	2.273687	0	0	0	0	0	0	-0.06477429	0.001938415	-0.09855855	0	0	0	0	0	0	0	0	0	0	0.8295489	0.7888164	0.1281863	0.5758212	0.6067603	0	
SCD	0	0.01666201	0	0	0	0	0	0	0	1.167977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.977399	0	0	
NEMP1	0	0.550763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4524283	0	0	
TRAFD1	0	1.790809	0	0	0	0	0	0	0.3914094	0.02579538	-0.374526	0	0	0	3.334711	0	0	0	0	0	0	0.3359147	0.8849672	0	-0.3324568	1.378384	0	
GAPDHS	0	0	0	0	0	0	0	0	0	0	0	0	6.488186	0	4.92772	0	0	0	0	0	0	0	0	0	0	0	0	
NDUFAB1	0	-0.1373224	0	0	0	0.1759829	0	0	2.340968	0	-0.2127346	3.163339	0	0	0.2856557	0	0	0	0	0	0	0	0	0	0.9040399	0	0	
CIT	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2182688	0	13.84679	0	0	0	0	0	0	0	0.2390805	0	0	0	
COPE	0	0.6269368	0	0	0	0	0	0	0	1.61151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.978961	0	0	
AP3D1	5.666749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00109059	0	0	0	0	0	0	0	2.429077	0.2435268	0	0	
GOSR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3153082	2.102309	0	
IRS4	1.348346	-1.140206	0	1.671394	-0.6799891	-0.62666	0	0	-1.055066	-0.7550768	-2.066001	0.9532645	-0.2408932	0.7280452	2.732184	0.3662175	-0.09203129	0.1731994	-0.8719228	0.2207966	0	1.418828	19.23859	-0.2462595	-0.4481712	1.803594	0.6598195	
TOR1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.080157	0	0	0	0	
TOR1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.540079	0	0	0	0	
STX16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.873593	0	0	
EI24	0	2.538143	0	0	0	0.02778964	0	0	0.4190178	1.228037	0	0	0	0	0	0	0	0	0.02355554	0	0.386844	0	0	0	3.132277	0.1026061	0	
RIOK3	0.9196404	2.076947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
IMPA2	0	0.550763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6094874	0	0	0	0	
MAP2K7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.540079	0	0	0	0	
ACOT8	0	-0.06532819	0	0	0	0	0	0	0	0	-0.0115325	0	0	3.863791	0.03556117	0	0	0	0	0	0	4.315617	1.611544	0	0.6596705	0	0	
CDIPT	0.06659368	5.506974	0	0	0	-0.2202076	0	0	0.2743705	1.013073	-0.6003434	0	0	-0.1031676	0	0	0	0	-0.2244417	0	0.1388468	0.6340395	-0.05973212	0	1.321828	0.179296	0.5435283	
SLC9A3R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.64634	0	0	0	
TPP1	0	0.6588259	0	0	0	0	0	0	0	0	1.155278	0	0	0	0.5137734	0	0	0	0	0	0	0	0.1495197	0	-0.007539382	0	0	
TCERG1	0.4423031	0	0	0	0	0	1.126037	0	0.6783123	0	0	0	0	2.952236	0	2.747301	0	0	0	0	0.5145562	0	-0.09907901	0	0	0	0.4097164	
TNPO2	0	1.123234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5503971	0	0	0.2211992	0	0	
SCAMP3	0	1.159154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.977399	0	0	
BCKDK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.3535	0	0	0	0	0	0	0	0	0	0	0	0	
MGST3	0	3.382939	0	0	0.003892109	-0.1794451	0	0	5.407788	0.1678124	0	0	0	0.05818159	0	0	0	0	6.024451	0	2.894972	0	-0.6388081	0	3.51792	0	0	
TIMM23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6811669	0	0	
HAT1	0	1.061934	0	0	0	0	0	0	0	5.47931	0.2900664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
UQCRQ	0	0	0	0	0.4547065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.200114	0	0	
AURKA	0	0	0	18.02273	7.458722	2.303334	0	0	3.400517	0	0	0	0	3.012668	0	0	0	0	3.009329	0	0	0	0	0	0	0	0	
PPP1R12A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.824318	0	0	0	0	0	0	0	0	0	0	0	
SLC27A2	0	0	0	0	16.4239	0	0	0	0	0.2074376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HNRNPDL	0	0	0	0	2.117299	0	0	0	0	0	0	0	0	0	0	0	0	0	5.047956	2.051056	0	0	0	1.246814	0	0	0	
XPO1	0	32.86842	0	0	0	-0.8261874	0	0	-0.6936093	-0.672774	0	0	0	0	0	0	0	0	0	0	0	26.25879	-1.808995	-0.5006487	14.70223	-0.563684	0	
BTAF1	0	0.7795015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ZNF609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.441398	0	0	0	0	0	0	0	0	0	0	0	0	
AGPAT2	0	0	0	0	0	0.5596984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.45053	0	0	
SCAMP2	0	3.179411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.365552	0	0	
ARPC3	0	0	0	0	4.482008	0	0	0	3.60074	3.043084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.475427	
BET1	0	0	0	0	0	0	0	0	0	1.104411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
POLR1C	0	0	0.657157	0	0	0	0	0	0	0	4.021673	0	0	0	0	0	0	0	0.1915996	0.7298046	0	0	0	0.3336855	0	0	1.388218	
PLSCR1	0	1.668979	0	0	0	0	0	0	2.451392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PGRMC2	0	3.175077	0	0	0	1.466236	0	0	1.299239	0	0	0	0	0	0	0	0	0	0	0	0.4770535	0	0	0	1.221881	0	0	
WDR46	0	0	0	0	0.7231395	0	0	0	0	0	0	0	0	0	0	0	0	0	3.013526	0	0	0	0	0	0	0	0	
NKRF	0	0	0	0	0	0	0	0	0	0	51.58281	0	0	0	-0.2210892	0	0	0	0	0	0	0	0	0	0	0	0	
GNPAT	0	0	0	0	0	0	0	0	0	1.104411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
LEPROT	0	1.118216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9185666	0	0	
RER1	0	3.188529	0	0	0	0	0	0	2.103311	2.440918	0	0	0	0	0	0	0	0	0	0	0.2946971	0	0	0	4.900756	0	0	
SURF4	0	7.808677	0	0	0	0	0	0	5.843712	0	0	0	0	0	0	0	0	0	0	0	0.1446977	-0.2967988	0	0	5.368878	1.29142	0	
SPTLC1	0	3.980622	0	0	0	-0.1447012	0.3050462	0	-0.9387814	9.653065	-2.198904	0	0	2.741074	0	0	0	0	0	0	-0.1476718	11.44789	4.165413	0	7.265162	1.737318	0	
SPTLC2	0	1.159154	0	0	0	0	0	0	0	4.436439	0	0	0	0	0	0	0	0	0	0	0	0.2475253	0	0	-0.08167262	0	0	
TM9SF1	0	4.531949	0	0	0	0	0	0	-0.1292205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.9381	0	0	
PPM1G	0	0	0	0	0	0	0	0	0	0	1.626786	0.7086364	0	0	0	0.262904	0	0	0	0	0	0	0	0	0	0	0	
EIF3D	1.227986	0.009588111	1.767022	0	0	0	0	0	1.197202	0	0	0	0	0.8833195	0	0.9975005	0	0	0.6370963	0	0	0	0.1288165	0	0	0	0	
EIF3H	0.9688665	0.02804212	0.1716443	0	0.04700095	-0.04329945	0	0.7187624	0.8104558	0.4101324	-0.4026414	0	0	0	0.06637338	-0.3400938	0	2.524505	-0.04753356	0	0.3157549	0	-0.2978803	0	-0.2699416	0	1.747799	
IPO8	0	4.544484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.719804	0	0	2.246354	0	0	
STX7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.508838	0	0	0	0	0	0	0	0	
SLC31A1	0	0.7795015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ABCC4	0	-0.06999441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.939476	0	0	
CD3EAP	0	0	0	0	0	0	0	0	0	0	2.133604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
P4HA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.241931	0	0	0	0	
NUP42	0	0	0	0	0	0	0	0	0	0	2.133604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
DHX15	0	0	0.9937024	0	0	0	0	0	0	0	29.96826	0	0	0	0	0	0	0	0.8982091	0	0	0	0	0	0	0	0	
RNMT	0	0	0	0	0	0	0	0	2.106841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TTI1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5503971	0	0	1.778963	0	0	
RRP8	0	0	1.209538	0	0	0	0	0	0	0	18.66318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CYB5B	0	0	0	0	2.046158	0.2190731	0	0	0	10.02548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PHGDH	1.166991	2.730749	0	0	0.1588509	2.675245	0	0	3.725264	17.29021	-7.424866	0	0	10.54614	0	-5.457551	10.83597	0	2.997798	9.351288	1.970533	5.066466	-0.4364955	-1.004881	-2.648999	12.22469	0.4063067	
PSMD3	0	0.9617464	0	0	0	2.721158	0	0	-0.552804	-0.3506443	-1.316025	0	0	-0.03114096	-0.3835023	-0.7899695	0	0	-0.3986382	0	0	3.002649	7.377414	-0.2469302	9.61398	2.197377	0	
RBFOX2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.20248	0	0	0	0	0	0	0	0	0	0	0	0	
ZW10	0	4.559634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.081521	0	0	20.33537	0	0	
SART1	2.388871	0	0	0	0	0	0	0	2.178485	0	0.3418446	0	0	1.874443	0	0	0	0	3.373015	0	0	0	0	0	0	0	0	
GPAA1	0	0	0	0	0	0	0	0	0.9097043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.263131	0	0	
EEF1E1	0	0.1849043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.318618	0	0	0.6502467	0	0.7524241	
MSI1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.085276	0	0	0	0	0	0	0	0	0	0	0	0	
HNRNPR	0	0	7.263501	0	5.286525	0	0	0	0	0	24.19637	0	0	0	0	0	0	0	9.009625	0	0	0	0	0	0	0	0	
TXNL1	0	0	0	0	0	11.02741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
EMC8	0	0	0	0	0	0.7302648	0	0	0.675156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3186248	0	0	
COCH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.378305	0	0	0	0	
PPIH	0	0	0	0	0	0	0	0	0	0	0.7040893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
B4GAT1	0	2.126595	0	0	0	0	0	0	0.01448746	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5481032	0	5.833844	0	0	
DENR	0	0	0	0	0	0	0	0	4.035476	0	0	4.64492	6.54486	0	0	2.080021	0	5.873066	0	0	3.836323	0	0	0	0	0	0	
XPOT	0	24.51086	0	0	0	-0.6356547	0	0	-0.9145387	-0.8433755	-2.071387	0	0	-0.6293083	0	0	0	0	-0.664933	0	0	30.54416	-0.2773721	0	11.21494	-0.6667385	0	
TIMM44	0	9.833317	0	0	0	0	0	0	-0.5640964	11.67973	0	0	0	0	0	0	0	0	-0.2146295	0	0	15.33159	3.519471	-0.3711358	1.853547	0	0	
CHMP2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.689196	0	0	0	
PLRG1	0	0	0.7575118	0	0	0	0	0	0	0	16.82854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PRC1	0	0	0	0	0	0	0	0	4.998101	0	0	5.22142	0	0	0	2.520012	0	0	0	0	0	0	0	0	0	0	0	
RGS10	0	0	0	2.163749	0	0.9178325	0	0	0	0	0	0	0	0	0	1.537718	0	0	0	2.001955	0	0	0	0	0	0	3.758451	
ZNF207	4.616119	0	0	0	0	0	0	0	1.823047	0	0	0	0	2.694224	0	0.5999716	0	5.972036	0	0	3.918964	0	0	0	0	0	5.503537	
NDUFB5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.447117	0	0	
NDUFB3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.064142	0	0	
NDUFA2	0	0.2463931	0	0	0	0	0	0	0.5045896	0.5713023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7750875	0	0	
TRAF3IP2	0	0	0	0	3.303797	1.925242	0	0	0	0	0	0	0	0	0	0	0	3.472295	0	2.105715	0	0	0	0	0	0	0	
SYNGR1	0	1.476882	0	0	0	0.219782	0	0	2.517492	0.2313859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.080564	0	0	
SYNGR3	0	1.380047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.663462	0	0	
SLC25A20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.382975	0	0	
MYO1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.67777	0	0	0	0	0	0	-0.1316005	0	0	0	0	
SLC25A17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4366371	6.558939	0	0	
NUDT21	0	0	0	0	0	0	0	0	15.7227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
LANCL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.92963	0	0	0	0	0	0	0	
RRP9	0	0	35.14234	0	0	0	0	0	0	0	2.669837	0	0	0	-0.1046839	0	0	0	0	0	0	0	0	0	0	0	0	
SCO2	0	1.019087	0	0	0	-0.1406894	0	0	0	-0.2913919	-0.6917133	0	0	4.077727	6.690509	0	0	0	0	0	0	-0.3080717	10.34272	0	-0.1997744	0.9341774	0	
AKAP8	0	3.724636	0	0	0	0	0	0	0	0	0	0	0	0	8.054104	0	0	0	0	0	0	0	0	0	0	0	0	
SLC37A4	0	0.7795015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CALU	0	18.90677	0	0	-0.05813747	-0.2414746	0	0	-0.3533622	0	-1.030689	0.4913949	0	0.3947343	6.138446	0	0	0	0	1.658162	0	-0.2097568	0	0	-1.028358	0.7341111	0.2746579	
NDUFS5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1073062	0	0	0.3998665	0	0	0	0	0	2.669728	0	0.6583151	
TIMM8A	0	0	0	0	0	0	0	0	0	0	-0.05875018	0	0	0	0	0	0	0	0	0	3.196607	0	1.337106	0	0	2.33528	0	
PRPSAP2	0	0	0	0	0	0	0	0	1.838522	0	0	0	0	0	0	0	1.293838	0	0	0	0	0	0	0	0	0	0	
SMARCA5	0	0	0	0	4.26992	0	0	0	0	0	0	0	0	0	0	0	0	0	8.568476	0	0	0	0	0	0	0	0	
URB1	0	0	0	0	0	0	0	0	0	0	18.87834	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.4216593	0	0	
OPA1	0	0.8498958	0	0	0	0	0	0	0.4431008	0	0	0	0	0	0	0	0	0	0	0	0	1.318618	0	0	0.08656967	0	0	
KIF1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7960125	0	0	0	0	0	0	0	0	0	0	0	
TBC1D4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.412159	0	0	0	0	0	0	0	0	0	0	0	
NME2P1	0	0	0	0	0	0	2.063342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
FADS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6811669	0	0	
MAN1A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.241931	0	0	0	0	
SYNCRIP	0	0	5.783203	0	0	0	0	0	0	0	8.004746	0	0	0	0	0	0	0	4.869445	0	0	0	0	0	0	0	0	
CDC40	0	0	0	0	0	0	0	0	0	0	1.429515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
GMDS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.556408	0	0	0	0	0	0	0	
CCNT1	0.8464997	0	0	0	0	0	0	0	0	0	0	0	0	0	4.551578	0	0	0	0	0	0	0	0	0	0	0	0	
PLOD3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.99725	0.165245	0	0	0	
